id	Comment	Level	Type	InGameName	TrainCost	UpgradeCost	UpgradeTime	UpdateDiamond	Hurt	Velocity	Hp	CostUnit	FightCapacity	
Id	描述	等级	类型	名字索引	花费	升级	升级时间（分钟）	直接升级需求钻石	伤害	攻击速度	血量	花费单位	战斗力	
int	string	int	int	int	int	int	int	int	int	int	int	int	int	
1	战士-Soldier	1	1	1001	10	432	6	50	10	80	100	0	28	
2	战士-Soldier	2	1	1001	12	504	12	57	20	80	110	0	31	
3	战士-Soldier	3	1	1001	14	576	18	64	30	80	120	0	34	
4	战士-Soldier	4	1	1001	16	648	24	72	40	80	130	0	37	
5	战士-Soldier	5	1	1001	18	720	30	79	50	80	140	0	40	
6	战士-Soldier	6	1	1001	19	792	36	86	60	80	150	0	43	
7	战士-Soldier	7	1	1001	21	864	42	93	70	80	160	0	46	
8	战士-Soldier	8	1	1001	23	936	48	100	80	80	170	0	49	
9	战士-Soldier	9	1	1001	25	1008	54	108	90	80	180	0	52	
10	战士-Soldier	10	1	1001	-1	-1	-1	-1	100	80	190	0	55	
11	坦克-Tank	1	2	1002	13	520	7	60	20	100	110	0	35	
12	坦克-Tank	2	2	1002	15	600	14	68	30	100	120	0	38	
13	坦克-Tank	3	2	1002	17	680	21	76	40	100	130	0	41	
14	坦克-Tank	4	2	1002	19	760	28	84	50	100	140	0	44	
15	坦克-Tank	5	2	1002	21	840	35	92	60	100	150	0	47	
16	坦克-Tank	6	2	1002	23	920	42	100	70	100	160	0	50	
17	坦克-Tank	7	2	1002	25	1000	49	108	80	100	170	0	53	
18	坦克-Tank	8	2	1002	27	1080	56	116	90	100	180	0	56	
19	坦克-Tank	9	2	1002	29	1160	63	124	100	100	190	0	59	
20	坦克-Tank	10	2	1002	-1	-1	-1	-1	110	100	200	0	62	
21	导弹-Missile	1	3	1003	19	760	9	84	40	100	150	0	43	
22	导弹-Missile	2	3	1003	21	840	18	92	50	100	160	0	46	
23	导弹-Missile	3	3	1003	23	920	27	100	60	100	170	0	49	
24	导弹-Missile	4	3	1003	25	1000	36	108	70	100	180	0	52	
25	导弹-Missile	5	3	1003	27	1080	45	116	80	100	190	0	55	
26	导弹-Missile	6	3	1003	29	1160	54	124	90	100	200	0	58	
27	导弹-Missile	7	3	1003	31	1240	63	132	100	100	210	0	61	
28	导弹-Missile	8	3	1003	33	1320	72	140	110	100	220	0	64	
29	导弹-Missile	9	3	1003	35	1400	81	148	120	100	230	0	67	
30	导弹-Missile	10	3	1003	-1	-1	-1	-1	130	100	240	0	70	
31	高压电塔-Voltage tower	1	4	1004	21	798	10	88	50	100	140	0	44	
32	高压电塔-Voltage tower	2	4	1004	23	882	20	96	60	100	150	0	47	
33	高压电塔-Voltage tower	3	4	1004	25	966	30	105	70	100	160	0	50	
34	高压电塔-Voltage tower	4	4	1004	27	1050	40	113	80	100	170	0	53	
35	高压电塔-Voltage tower	5	4	1004	29	1134	50	121	90	100	180	0	56	
36	高压电塔-Voltage tower	6	4	1004	31	1218	60	130	100	100	190	0	59	
37	高压电塔-Voltage tower	7	4	1004	33	1302	70	138	110	100	200	0	62	
38	高压电塔-Voltage tower	8	4	1004	35	1386	80	147	120	100	210	0	65	
39	高压电塔-Voltage tower	9	4	1004	37	1470	90	155	130	100	220	0	68	
