id	Comment	Level	Coins	CoinLowBound	CoinUpperBound	LifePoints	LifeLowBound	LifeUpperBound	Bomb	Shield	Life	
Id	描述	等级	掉落金币概率	掉落金币数量下限	掉落金币数量上限	掉落生命值概率	掉落生命值数量下限	掉落生命值数量上限	掉落炸弹概率	掉落防护罩概率	主机数量加1概率	
int	string	int	int	int	int	int	int	int	int	int	int	
1	掉落物品概率	1	50	10	50	20	10	50	10	15	5	
2	掉落物品概率	2	50	20	100	20	20	100	10	15	5	
3	掉落物品概率	3	50	30	150	20	30	150	10	15	5	
4	掉落物品概率	4	50	40	200	20	40	200	10	15	5	
5	掉落物品概率	5	50	50	250	20	50	250	10	15	5	
6	掉落物品概率	6	50	60	300	20	60	300	10	15	5	
7	掉落物品概率	7	50	70	350	20	70	350	10	15	5	
8	掉落物品概率	8	50	80	400	20	80	400	10	15	5	
9	掉落物品概率	9	50	90	450	20	90	450	10	15	5	
10	掉落物品概率	10	50	100	500	20	100	500	10	15	5	
