id	Comment	Level	Type	InGameName	TrainCost	UpgradeCost	UpgradeTime	UpdateDiamond	UnitCount	
Id	描述	等级	类型	名字索引	花费	升级	升级时间（分钟）	直接升级需求钻石	容纳单元数	
int	string	int	int	int	int	int	int	int	int	
1	Barrack-兵营	1	24	1024	50	500	10	5	5	
2	Barrack-兵营	2	24	1024	60	600	12	6	6	
3	Barrack-兵营	3	24	1024	70	700	14	7	7	
4	Barrack-兵营	4	24	1024	80	800	16	8	8	
5	Barrack-兵营	5	24	1024	90	900	18	9	9	
6	Barrack-兵营	6	24	1024	100	1000	20	10	10	
7	Barrack-兵营	7	24	1024	110	1100	22	11	11	
8	Barrack-兵营	8	24	1024	120	1200	24	12	12	
9	Barrack-兵营	9	24	1024	130	1300	26	13	13	
10	Barrack-兵营	10	24	1024	-1	-1	-1	-1	14	
11	Airport-飞机场	1	25	1025	80	800	15	5	5	
12	Airport-飞机场	2	25	1025	90	900	18	6	6	
13	Airport-飞机场	3	25	1025	100	1000	21	7	7	
14	Airport-飞机场	4	25	1025	110	1100	24	8	8	
15	Airport-飞机场	5	25	1025	120	1200	27	9	9	
16	Airport-飞机场	6	25	1025	130	1300	30	10	10	
17	Airport-飞机场	7	25	1025	140	1400	33	11	11	
18	Airport-飞机场	8	25	1025	150	1500	36	12	12	
19	Airport-飞机场	9	25	1025	160	1600	39	13	13	
20	Airport-飞机场	10	25	1025	-1	-1	-1	-1	14	
